modeltype,version,modelname,mainboard,devtime,pm,structconfig,lcd,touchpanel,iointerface,ledind,powerbutton,keyboard,webcamera,touchpad,fingerprint,audio,battery,cpu,gpu,memory,lcdconnector,storage,wifislot,thermal,tpm,rtc,wireless,lan,lte,bluetooth,softwareconfig,ai,accessory,certifications
829,Planning_v0.4,APX829,MB Ver.: v1.0,"stage: Planning：2024/01/25-2024/Now
Est. Kick-off：2024/xx/xx
EVT：
DVT：
PVT：
Pilot run：
Owner: No Data",Owner: No Data,"Form: Notebook
Dimension: Option1- 314.1* 216.75* 17.9mm
Option2- 314.1* 216.75* 19.6mm
Option3- 315.3* 222.70* 20.8mm
Option4- 314.1* 216.75* 17.9mm
Material: Option1- A/D Cover：Metal (Anodize), B/C Cover：Plastic (Painting)
Option2- A Cover：Metal (Anodize), B/C/D Cover：Plastic (Painting)
Option3- A/B/C/D Cover：Plastic (Painting)
Option4- A/C/D Cover：Metal (Anodize), B Cover：Plastic (Painting)
Hinge: 180 degree hinge
Weight: TBD","Dimension: 14""  16:10
Resolution: Non-Dash
14"" 1920* 1200 FHD, IPS, 60Hz (not support to 120/144Hz),45% NTSC, FreeSync
Support AMD Dash
14"" 2560*1600 QHD, IPS, LED, Anti-Glare, 120Hz, 300 nits, 100%DCI-P3, with Touch panel(Optional)",Form: N/A(PCBA support),"MB IO(Left): 1* HDMI Type A 2.0 (Support HDMI2.1TMDS_4K/60Hz) (MB)
2* USB 3.2 Gen1, Super Speed USB 5Gbp, Type-A (MB)
1* USB3.2 Gen1, Super Speed USB 5Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)
1* USB3.2 Gen2, Super Speed USB 10Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)
DB IO(Right): 1* Supportive Kensington Lock Type slot (Mini Saver)
Default：1*2.5G (8125BP for Dash/8125DN for NON dash) RJ45
Option1：1*1G(RTL8111H for NON dash) RJ45 
optional(Compatible for Dash and None-Dash)
1* USB 3.2 Gen1, Super Speed USB 5Gbp,Type A (DB)
1* USB2.0 Hi-Speed, Type A (on DB)
1* φ3.5mm standard headphone jack (DB)
1* Standard SD card, Support SD/MMC/SDHC/SDXC, SD 2.0 (DB)
1* Camera+Mic physical power on/off switch (DB)",,Button: Seperated Power button key(DB),"Back light: Default：Single backlit
Option1：No backlit KB
Matrix: US/UK (Optional)
Others: Spill resistant with drain for drainage,
Typical  keyboard w/o removeable design","Front: Default：Front 1080P, 30 fps, w/ mic*2, LED, with latch
Option1：Front 720p Infrared (IR), 30 fps, w/ mic*2, LED, with latch
Support Camera+Mic physical power on/off switch
Camera shutter
Rear: N/a
Windows Hello: Optional","Interface type: I2C
Size: xxx* xxx mm
Feature: Support Number button (PCBA support)
multi-touch support, gestures and scroll function","Location: On the Power button (Optional)
Interface type: USB, Security level 3 -  HTX-938-GF3258
Windows Hello: No Data","Speaker: 2* Built-in Speakers ( 2* 4Ω/2W)
Mic: HD Audio, Built-in (dual) digital microphones
Others: No Data","Type: Lithium-ion polymer smart battery, PD3.0 support fast charging (Optional)
Capacity: 1* 56Wh, 15.55V/xxxmah, 4S1P, Smart battery
1* 60Wh, 15.55V/xxxmah, 4S1P, Dumb battery
Certification: CB,MSDS,UN38.3,Airflight transportation report
Life: TBD","Module: AMD Zen4,  AMD Phoenix H Series, TDP: 45W
Ryzen™ 5 7640H (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)
Ryzen™ 7 7840H (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)
Ryzen™ 9 7940H (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)
AMD Zen4,  AMD Phoenix HS Pro Series, TDP: 45W
Ryzen™ 5 Pro 7640HS (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)
Ryzen™ 7 Pro 7840HS (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)
Ryzen™ 9 Pro 7940HS (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)","Model: AMD Radeon™ 760M (R5 7640H/HS)
AMD Radeon™ 780M (R7 7840H/HS/R9 7940H/HS)","RAM: LPDDR5X-7500Mhz (315B)(PCB uVIA), up to 16G/32G,onboard
Port: LCD connector optional
SSD: 1* M.2 2280 for PCle G4 (Lane 4)/NVME SSD, up to 8TB (2x 256GB)(on MB)
1* M.2 2242 for PCle G3 (Lane 4)/SATA SSD, up to 8TB (2x 256GB)(on MB)
Wifi: Default：1* M.2 Key-E 2230 for WiFi 6 + BT5.2
Optional 1：1* M.2 Key-E 2230 for WiFi 6E  + BT5.2",Port: LCD connector optional,"SSD: 1* M.2 2280 for PCle G4 (Lane 4)/NVME SSD, up to 8TB (2x 256GB)(on MB)
1* M.2 2242 for PCle G3 (Lane 4)/SATA SSD, up to 8TB (2x 256GB)(on MB)","Wifi: Default：1* M.2 Key-E 2230 for WiFi 6 + BT5.2
Optional 1：1* M.2 Key-E 2230 for WiFi 6E  + BT5.2",TDP: TDP 45W/ Dual fan,"interface Type: Default：AMD Pluton, Implemented in system firmware, fTPM2.0 (Firmware TPM)
Option1：Hardware chip on the MB, dTPM 2.0 (Discrete TPM)",RTC Connector: Support,"Wifi Chip Model: Support AMD Dash
Default：RZ616(AMD)_WIFI 6E 802.11ax 2Tx2R + BT 5.2, on M.2 module(Major Chipset – MT7922A12L)
Non-Dash
Alternative：AW-XB591NF(AzureWave)_Wi-Fi 6E Dual-band 2T2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.3, on module(MT7922AEA)
Alternative：6252M-PUB (FN-LINK)_WiFi 6 Dual-band 2T2R 802.11ax (2.4GHz/5GHz) + Bluetooth 5.2, on M.2 2230 module (Major Chipset – RTL8852BE-CG)
Alternative：AX200(Intel)_Wi-Fi 6 Dual-band 2T2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.2, on module
Others: Support Wifi and Bluetooth Power on/off switch",RJ45: Giga LAN 10/100/1000/2500Mbps (on DB),LTE: No Data,"WiFi/Bluetooth Switch: No Data
Battery/Charge: Charging with Red light
Full-charged with Green light
Off with no light","System: Windows11 2024H2 (2024 updated) Copilot version
All functions should be compatible on Win11 & Linux OS
Language Support: Support multi Language","MEP
(need OEM get approval from Microsoft): Automatic framing
Eye contact
Background effect
Copilot
(Support Region depends on Microsoft): Support
Large language model (License requirement): Support
Text to Image model (License requirement): Support
Image to Image model (License requirement): Support","Standard Configuration: 1* 100W, AC in 100/240V,50/60Hz, DC output 20V /xxxxA Type C charger","Safety: No Data
No Data"
829,Planning_v0.4,APX829,MB Ver.: v1.0,"stage: Planning：2024/01/25-2024/Now
Est. Kick-off：2024/xx/xx
EVT：
DVT：
PVT：
Pilot run：
Owner: No Data",Owner: No Data,"Form: Notebook
Dimension: Option1- 357.8* 227.5* 18.1mm
Option2- 357.8* 227.5* 19.8mm
Option3- 357.8* 227.5* 18.1mm
Material: Option1- A/D Cover：Metal (Anodize), B/C Cover：Plastic (Painting)
Option2- A Cover：Metal (Anodize), B/C/D Cover：Plastic (Painting)
Option3- A/C/D Cover：Metal (Anodize), B Cover：Plastic (Painting)
Hinge: 180 degree hinge
Weight: TBD","Dimension: 15.6""  16:9
Resolution: Non-Dash
15.6"" 1920* 1080 FHD, IPS, 60Hz (not support to 120/144Hz),45% NTSC, FreeSync
Support AMD Dash
15.6"" 2560*1440 QHD, IPS, LED, Anti-Glare, 120Hz, 300 nits, 100%DCI-P3, with Touch panel(Optional)",Form: N/A(PCBA support),"MB IO(Left): 1* HDMI Type A 2.0 (Support HDMI2.1TMDS_4K/60Hz) (MB)
2* USB 3.2 Gen1, Super Speed USB 5Gbp, Type-A (MB)
1* USB3.2 Gen1, Super Speed USB 5Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)
1* USB3.2 Gen2, Super Speed USB 10Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)
DB IO(Right): 1* Supportive Kensington Lock Type slot (Mini Saver)
Default：1*2.5G (8125BP for Dash/8125DN for NON dash) RJ45
Option1：1*1G(RTL8111H for NON dash) RJ45 
optional(Compatible for Dash and None-Dash)
1* USB 3.2 Gen1, Super Speed USB 5Gbp,Type A (DB)
1* USB2.0 Hi-Speed, Type A (on DB)
1* φ3.5mm standard headphone jack (DB)
1* Standard SD card, Support SD/MMC/SDHC/SDXC, SD 2.0 (DB)
1* Camera+Mic physical power on/off switch (DB)",,Button: Seperated Power button key(DB),"Back light: Default：Single backlit
Option1：No backlit KB
Matrix: US/UK (Optional)
Others: Spill resistant with drain for drainage,
Typical  keyboard w/o removeable design","Front: Default：Front 1080P, 30 fps, w/ mic*2, LED, with latch
Option1：Front 720p Infrared (IR), 30 fps, w/ mic*2, LED, with latch
Support Camera+Mic physical power on/off switch
Camera shutter
Rear: N/a
Windows Hello: Optional","Interface type: I2C
Size: xxx* xxx mm
Feature: Support Number button (PCBA support)
multi-touch support, gestures and scroll function","Location: On the Power button (Optional)
Interface type: USB, Security level 3 -  HTX-938-GF3258
Windows Hello: No Data","Speaker: Built-in 4Ω/2W speaker *2
Mic: HD Audio, Built-in (dual) digital microphones
Others: No Data","Type: Lithium-ion polymer smart battery, PD3.0 support fast charging (Optional)
Capacity: 1* 56Wh, 15.55V/xxxmah, 4S1P, Smart battery, can up to 78.5Wh
1* 60Wh, 15.55V/xxxmah, 4S1P, Dumb battery, can up to 80.2Wh
Certification: CB,MSDS,UN38.3,Airflight transportation report
Life: TBD","Module: AMD Zen4,  AMD Phoenix H Series, TDP: 45W
Ryzen™ 5 7640H (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)
Ryzen™ 7 7840H (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)
Ryzen™ 9 7940H (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)
AMD Zen4,  AMD Phoenix HS Pro Series, TDP: 45W
Ryzen™ 5 Pro 7640HS (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)
Ryzen™ 7 Pro 7840HS (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)
Ryzen™ 9 Pro 7940HS (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)","Model: AMD Radeon™ 760M (R5 7640H/HS)
AMD Radeon™ 780M (R7 7840H/HS/R9 7940H/HS)","RAM: LPDDR5X-7500Mhz (315B)(PCB uVIA), up to 16G/32G,onboard
Port: LCD connector optional
SSD: 1* M.2 2280 for PCle G4 (Lane 4)/NVME SSD, up to 8TB (2x 256GB)(on MB)
1* M.2 2242 for PCle G3 (Lane 4)/SATA SSD, up to 8TB (2x 256GB)(on MB)
Wifi: Default：1* M.2 Key-E 2230 for WiFi 6 + BT5.2
Optional 1：1* M.2 Key-E 2230 for WiFi 6E  + BT5.2",Port: LCD connector optional,"SSD: 1* M.2 2280 for PCle G4 (Lane 4)/NVME SSD, up to 8TB (2x 256GB)(on MB)
1* M.2 2242 for PCle G3 (Lane 4)/SATA SSD, up to 8TB (2x 256GB)(on MB)","Wifi: Default：1* M.2 Key-E 2230 for WiFi 6 + BT5.2
Optional 1：1* M.2 Key-E 2230 for WiFi 6E  + BT5.2",TDP: TDP 45W/ Dual fan,"interface Type: Default：AMD Pluton, Implemented in system firmware, fTPM2.0 (Firmware TPM)
Option1：Hardware chip on the MB, dTPM 2.0 (Discrete TPM)",RTC Connector: Support,"Wifi Chip Model: Support AMD Dash
Default：RZ616(AMD)_WIFI 6E 802.11ax 2Tx2R + BT 5.2, on M.2 module(Major Chipset – MT7922A12L)
Non-Dash
Alternative：AW-XB591NF(AzureWave)_Wi-Fi 6E Dual-band 2T2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.3, on module(MT7922AEA)
Alternative：6252M-PUB (FN-LINK)_WiFi 6 Dual-band 2T2R 802.11ax (2.4GHz/5GHz) + Bluetooth 5.2, on M.2 2230 module (Major Chipset – RTL8852BE-CG)
Alternative：AX200(Intel)_Wi-Fi 6 Dual-band 2T2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.2, on module
Others: Support Wifi and Bluetooth Power on/off switch",RJ45: Giga LAN 10/100/1000/2500Mbps (on DB),LTE: No Data,"WiFi/Bluetooth Switch: No Data
Battery/Charge: Charging with Red light
Full-charged with Green light
Off with no light","System: Windows11 2024H2 (2024 updated) Copilot version
All functions should be compatible on Win11 & Linux OS
Language Support: Support multi Language","MEP
(need OEM get approval from Microsoft): Automatic framing
Eye contact
Background effect
Copilot
(Support Region depends on Microsoft): Support
Large language model (License requirement): Support
Text to Image model (License requirement): Support
Image to Image model (License requirement): Support","Standard Configuration: 1* 100W, AC in 100/240V,50/60Hz, DC output 20V /xxxxA Type C charger","Safety: No Data
No Data"
829,Planning_v0.4,APX829,MB Ver.: v1.0,"stage: Planning：2024/01/25-2024/Now
Est. Kick-off：2024/xx/xx
EVT：
DVT：
PVT：
Pilot run：
Owner: No Data",Owner: No Data,"Form: Notebook
Dimension: Option1- 356.8* 244.6* 18.1mm
Option2- 356.8* 244.6* 19.8mm
Option3- 356.9* 249.1* 21mm
Option4- 356.8* 244.6* 18.1mm
Material: Option1- A/D Cover：Metal (Anodize), B/C Cover：Plastic (Painting)
Option2- A Cover：Metal (Anodize), B/C/D Cover：Plastic (Painting)
Option3- A/B/C/D Cover：Plastic (Painting)
Option4- A/C/D Cover：Metal (Anodize), B Cover：Plastic (Painting)
Hinge: 180 degree hinge
Weight: TBD","Dimension: 16""  16:10
Resolution: Non-Dash
16"" 1920* 1200 FHD, IPS, 60Hz (not support to 120/144Hz),45% NTSC, FreeSync
Support AMD Dash
16"" 2560*1600 QHD, IPS, LED, Anti-Glare, 120Hz, 300 nits, 100%DCI-P3, with Touch panel(Optional)",Form: N/A(PCBA support),"MB IO(Left): 1* HDMI Type A 2.0 (Support HDMI2.1TMDS_4K/60Hz) (MB)
2* USB 3.2 Gen1, Super Speed USB 5Gbp, Type-A (MB)
1* USB3.2 Gen1, Super Speed USB 5Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)
1* USB3.2 Gen2, Super Speed USB 10Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)
DB IO(Right): 1* Supportive Kensington Lock Type slot (Mini Saver)
Default：1*2.5G (8125BP for Dash/8125DN for NON dash) RJ45
Option1：1*1G(RTL8111H for NON dash) RJ45 
optional(Compatible for Dash and None-Dash)
1* USB 3.2 Gen1, Super Speed USB 5Gbp,Type A (DB)
1* USB2.0 Hi-Speed, Type A (on DB)
1* φ3.5mm standard headphone jack (DB)
1* Standard SD card, Support SD/MMC/SDHC/SDXC, SD 2.0 (DB)
1* Camera+Mic physical power on/off switch (DB)",,Button: Seperated Power button key(DB),"Back light: Default：Single backlit
Option1：No backlit KB
Matrix: US/UK (Optional)
Others: Spill resistant with drain for drainage,
Typical  keyboard w/o removeable design","Front: Default：Front 1080P, 30 fps, w/ mic*2, LED, with latch
Option1：Front 720p Infrared (IR), 30 fps, w/ mic*2, LED, with latch
Support Camera+Mic physical power on/off switch
Camera shutter
Rear: N/a
Windows Hello: Optional","Interface type: I2C
Size: xxx* xxx mm
Feature: Support Number button (PCBA support)
multi-touch support, gestures and scroll function","Location: On the Power button (Optional)
Interface type: USB, Security level 3 -  HTX-938-GF3258
Windows Hello: No Data","Speaker: Built-in 4Ω/2W speaker *2
Mic: HD Audio, Built-in (dual) digital microphones
Others: No Data","Type: Lithium-ion polymer smart battery, PD3.0 support fast charging (Optional)
Capacity: 1* 56Wh, 15.55V/xxxmah, 4S1P, Smart battery, can up to 92.4Wh
1* 60Wh, 15.55V/xxxmah, 4S1P, Dumb battery, can up to 94Wh
Certification: CB,MSDS,UN38.3,Airflight transportation report
Life: TBD","Module: AMD Zen4,  AMD Phoenix H Series, TDP: 45W
Ryzen™ 5 7640H (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)
Ryzen™ 7 7840H (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)
Ryzen™ 9 7940H (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)
AMD Zen4,  AMD Phoenix HS Pro Series, TDP: 45W
Ryzen™ 5 Pro 7640HS (6C/12T, 5.0GHz/4.3GHz, TDP: 35W~54W)
Ryzen™ 7 Pro 7840HS (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)
Ryzen™ 9 Pro 7940HS (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)","Model: AMD Radeon™ 760M (R5 7640H/HS)
AMD Radeon™ 780M (R7 7840H/HS/R9 7940H/HS)","RAM: LPDDR5X-7500Mhz (315B)(PCB uVIA), up to 16G/32G,onboard
Port: LCD connector optional
SSD: 1* M.2 2280 for PCle G4 (Lane 4)/NVME SSD, up to 8TB (2x 256GB)(on MB)
1* M.2 2242 for PCle G3 (Lane 4)/SATA SSD, up to 8TB (2x 256GB)(on MB)
Wifi: Default：1* M.2 Key-E 2230 for WiFi 6 + BT5.2
Optional 1：1* M.2 Key-E 2230 for WiFi 6E  + BT5.2",Port: LCD connector optional,"SSD: 1* M.2 2280 for PCle G4 (Lane 4)/NVME SSD, up to 8TB (2x 256GB)(on MB)
1* M.2 2242 for PCle G3 (Lane 4)/SATA SSD, up to 8TB (2x 256GB)(on MB)","Wifi: Default：1* M.2 Key-E 2230 for WiFi 6 + BT5.2
Optional 1：1* M.2 Key-E 2230 for WiFi 6E  + BT5.2",TDP: TDP 45W/ Dual fan,"interface Type: Default：AMD Pluton, Implemented in system firmware, fTPM2.0 (Firmware TPM)
Option1：Hardware chip on the MB, dTPM 2.0 (Discrete TPM)",RTC Connector: Support,"Wifi Chip Model: Support AMD Dash
Default：RZ616(AMD)_WIFI 6E 802.11ax 2Tx2R + BT 5.2, on M.2 module(Major Chipset – MT7922A12L)
Non-Dash
Alternative：AW-XB591NF(AzureWave)_Wi-Fi 6E Dual-band 2T2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.3, on module(MT7922AEA)
Alternative：6252M-PUB (FN-LINK)_WiFi 6 Dual-band 2T2R 802.11ax (2.4GHz/5GHz) + Bluetooth 5.2, on M.2 2230 module (Major Chipset – RTL8852BE-CG)
Alternative：AX200(Intel)_Wi-Fi 6 Dual-band 2T2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.2, on module
Others: Support Wifi and Bluetooth Power on/off switch",RJ45: Giga LAN 10/100/1000/2500Mbps (on DB),LTE: No Data,"WiFi/Bluetooth Switch: No Data
Battery/Charge: Charging with Red light
Full-charged with Green light
Off with no light","System: Windows11 2024H2 (2024 updated) Copilot version
All functions should be compatible on Win11 & Linux OS
Language Support: Support multi Language","MEP
(need OEM get approval from Microsoft): Automatic framing
Eye contact
Background effect
Copilot
(Support Region depends on Microsoft): Support
Large language model (License requirement): Support
Text to Image model (License requirement): Support
Image to Image model (License requirement): Support","Standard Configuration: 1* 100W, AC in 100/240V,50/60Hz, DC output 20V /xxxxA Type C charger","Safety: No Data
No Data"
