model_name,battery_info_battery_spec,connectivity_info_hdmi,connectivity_info_usb,connectivity_info_wifi,display_info_lcd,hardware_info_gpu,hardware_info_storage,version_info_version
APX938,Lithium-ion; 15.4V/3750mAh; 57.75Wh,4K/60Hz; HDMI 2.0,40Gbps; USB4.0; Type-C; Type A; USB3.2; USB3.2 Gen1; 5Gbps; USB3.2 Gen2; 10Gbps; Type C; USB2.0,WiFi 6; WiFi 6E; BT5.3; BT5.2; Wifi 6E; 802.11ax; Bluetooth 5.2; Bluetooth 5.3,60Hz; 1920* 1200 FHD; 120Hz; QHD; 2560* 1600 QHD,AMD Radeon™ Graphics,up to 8TB; NVME SSD,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
ARB938,Lithium-ion; 15.4V/3750mAh; 57.75Wh,4K/60Hz; HDMI 2.0,40Gbps; USB4.0; Type-C; Type A; USB3.2; USB3.2 Gen1; 5Gbps; USB3.2 Gen2; 10Gbps; Type C; USB2.0,WiFi 6; WiFi 6E; BT5.3; BT5.2; Wifi 6E; 802.11ax; Bluetooth 5.2; Bluetooth 5.3,60Hz; 1920* 1200 FHD; 120Hz; QHD; 2560* 1600 QHD,AMD Radeon™ Graphics,up to 8TB; NVME SSD,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
AHP938U,Lithium-ion; 15.4V/3750mAh; 57.75Wh,4K/60Hz; HDMI 2.0,40Gbps; USB4.0; Type-C; Type A; USB3.2; USB3.2 Gen1; 5Gbps; USB3.2 Gen2; 10Gbps; Type C; USB2.0,WiFi 6; WiFi 6E; BT5.3; BT5.2; Wifi 6E; 802.11ax; Bluetooth 5.2; Bluetooth 5.3,60Hz; 1920* 1200 FHD; 120Hz; QHD; 2560* 1600 QHD,AMD Radeon™ Graphics,up to 8TB; NVME SSD,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
AKK938,Lithium-ion; 15.4V/3750mAh; 57.75Wh,4K/60Hz; HDMI 2.0,40Gbps; USB4.0; Type-C; Type A; USB3.2; USB3.2 Gen1; 5Gbps; USB3.2 Gen2; 10Gbps; Type C; USB2.0,WiFi 6; WiFi 6E; BT5.3; BT5.2; Wifi 6E; 802.11ax; Bluetooth 5.2; Bluetooth 5.3,60Hz; 1920* 1200 FHD; 120Hz; QHD; 2560* 1600 QHD,AMD Radeon™ Graphics,up to 8TB; NVME SSD,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
